epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,172422,0.10928,0.16762,0.90138,0.98168,0.9788,0.98651,0.98637,0.11165,0.20724,0.2062,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,177280,0.10603,0.16518,0.89995,0.9891,0.98534,0.99053,0.99006,0.09424,0.14728,0.18797,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,182135,0.10315,0.15953,0.90071,0.98728,0.98191,0.9915,0.99149,0.14254,0.18137,0.22858,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,187018,0.1015,0.15835,0.89912,0.98314,0.97789,0.98662,0.98646,0.11615,0.22931,0.20079,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,191896,0.09845,0.15463,0.89871,0.98473,0.97861,0.98649,0.98254,0.12038,0.22229,0.20566,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,196777,0.09667,0.15104,0.89689,0.98271,0.98954,0.99199,0.99192,0.12789,0.19557,0.2301,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,201674,0.09389,0.14499,0.89683,0.98402,0.98954,0.99077,0.99071,0.18721,0.25208,0.29333,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,206532,0.0925,0.14394,0.89586,0.98958,0.98554,0.99372,0.99371,0.13127,0.19699,0.22034,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,211388,0.0904,0.1407,0.8964,0.98032,0.98915,0.98551,0.98482,0.14297,0.2458,0.23791,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,216212,0.08339,0.09649,0.91113,0.98988,0.98146,0.99012,0.99012,0.11718,0.23361,0.19497,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,221012,0.07058,0.07283,0.90102,0.99137,0.9878,0.99267,0.99267,0.11119,0.18332,0.18666,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,225820,0.0664,0.06607,0.8931,0.992,0.99156,0.9933,0.9933,0.07862,0.13249,0.13946,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,230637,0.06504,0.06435,0.89732,0.98797,0.9901,0.99143,0.99143,0.07236,0.13555,0.13275,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,235454,0.05727,0.05708,0.89086,0.98751,0.9926,0.99166,0.99166,0.06888,0.1348,0.12804,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,240262,0.05387,0.05319,0.8892,0.99295,0.98811,0.99266,0.99266,0.07288,0.1455,0.13245,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,245061,0.05192,0.0522,0.88775,0.99331,0.99044,0.9933,0.9933,0.0726,0.14051,0.13921,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,249865,0.04932,0.04773,0.88751,0.99261,0.99418,0.99364,0.99364,0.06517,0.12479,0.11412,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,254667,0.04582,0.04524,0.88393,0.99362,0.99375,0.99378,0.99378,0.06555,0.12709,0.11612,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,259443,0.04384,0.04243,0.88397,0.9936,0.99291,0.99329,0.99329,0.06623,0.12861,0.11533,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
